ID,Section,Title,Abstract,Byline,Item_type,Source,Published_date,Material_type_facet,Counter
4381,Movies,The Day New Queer Cinema Said: Let’s Do This,"Thirty years after a panel at Sundance, some of the artists and journalists who helped ignite an L.G.B.T.Q. film movement take stock.",BY ERIK PIEPENBURG,Article,New York Times,2022-01-02,News,1
4382,Arts,5 Things to Do This Weekend,Our critics and writers have selected noteworthy cultural events to experience virtually and in person in New York City.,NO RECORD,Article,New York Times,2022-01-02,News,1
4383,Arts,The Morgan Wallen Conundrum,"The country superstar had the biggest album of 2021 despite being captured on video using a racial slur. Is he on a redemption tour, or just on tour?",BY JON CARAMANICA,Article,New York Times,2022-01-02,News,1
4384,Arts,‘And Just Like That’ Episode 8 Recap: Giant Feelings,Miranda is in love with Che and ready to act on it. But how does Che feel?,BY ALI TRACHTA,Article,New York Times,2022-01-02,Review,1
4385,Opinion,There Will Be Another Variant. Here’s What the World Can Do Now.,The world cannot afford to be so unprepared ever again.,BY JOHN NKENGASONG,Article,New York Times,2022-01-02,Op-Ed,1
4386,Travel,Meet the Man Championing Lebanon’s Culinary Traditions,"At home and now in Paris, Kamal Mouzawak empowers Lebanese communities through food. Not even the horrific port blast in 2020 has stopped him.",BY LINDSEY TRAMUTA,Article,New York Times,2022-01-02,News,1
4387,Opinion,What the Fate of Joe Biden’s Presidency Hinges On,Generating a feeling of normalcy around American politics and daily life would restore the promise of the Biden presidency. ,BY MATTHEW YGLESIAS,Article,New York Times,2022-01-02,Op-Ed,1
4388,Magazine,Poem: At Last There Is Yesterday,"This poem (in translation) by Wang Yin, a Chinese poet based in Shanghai, aptly captures the slipperiness of time, memory and dreams.",BY WANG YIN AND VICTORIA CHANG,Article,New York Times,2022-01-02,News,1
4389,Opinion,Elizabeth Warren Claps Back at Elon Musk,The Massachusetts senator defends her plan to tax billionaires and break up Big Tech.,BY ‘SWAY’,Article,New York Times,2022-01-02,Op-Ed,1
4390,Real Estate,"A Single-Family House for Under $800,000? One Family of Five Combs Queens for More Space.","After they became ‘outnumbered by kids,’ a couple decided it was time to upgrade their two-bedroom apartment. But could they find something big enough in the city?",BY JOYCE COHEN,Interactive,New York Times,2022-01-02,Interactive Feature,1
4391,The Learning Network,Do You Think Pluto Should Be a Planet?,What do you think makes something a planet? Its size? Its roundness? What it orbits? Or something else?,BY CALLIE HOLTERMANN,Article,New York Times,2022-01-02,News,1
4392,Books,These Old Hands Have Written New Best Sellers,What do Jacqueline Woodson and Elizabeth George have in common? They’re both veteran authors whose books fly off the shelves.,BY ELISABETH EGAN,Article,New York Times,2022-01-02,List,1
4393,Books,The Cult of Saint Joan,"Daphne Merkin examines her complicated feelings about Joan Didion’s writing, iconic status and legacy.",BY DAPHNE MERKIN,Article,New York Times,2022-01-02,News,1
4394,Well,"Weekly Health Quiz: Diets, Fat Loss and Free Covid Home Tests",Test your knowledge of this week’s health news.,BY TOBY BILANOW,Interactive,New York Times,2022-01-02,Interactive Feature,1
4395,Sports,An Abrupt Ending for Aaron Rodgers Brings a Rush of Uncertainty,"Rodgers, though likely to win his second straight M.V.P. award, now must contemplate his future with the Green Bay Packers much sooner than he had hoped.",BY BEN SHPIGEL,Article,New York Times,2022-01-02,News,1
4396,Style,Beholder of Beauty,André Leon Talley was the last great editor of a lost era.,BY VANESSA FRIEDMAN,Article,New York Times,2022-01-02,News,1
4397,New York,‘I Asked a Woman on the Platform if She Had Any Tissues’,"Helping hands in the subway, a tug of war on the Upper East Side and more reader tales of New York City in this week’s Metropolitan Diary.",NO RECORD,Article,New York Times,2022-01-02,News,1
4398,Crosswords & Games,Spelling Bee Forum,Feeling stuck on today’s puzzle? We can help.,BY ISAAC ARONOW AND DOUG MENNELLA,Article,New York Times,2022-01-02,News,1
4399,Sports,Two upsets of No. 1 seeds. Two last-play field goals. Lots of wild defensive plays.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
4400,Sports,The 49ers complete their upset after the Packers’ special teams flubs.,San Francisco will move on to play either the Los Angeles Rams or the Tampa Bay Buccaneers in the N.F.C. championship game.,BY BEN SHPIGEL,Article,New York Times,2022-01-02,News,1
4401,Sports,A blocked punt immediately gets the 49ers back to even.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
4402,Sports,The Packers may not want to rely on special teams to decide the game.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
4403,Sports,The 49ers have -7 yards after a quarter. But they’re only down 7 points.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
4404,Sports,Deebo Samuel flourishes in his “wide back” role.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
4405,Sports,Aaron Rodgers knows that his playoff record shapes his N.F.L. legacy.,NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
4406,Sports,"Garoppolo, 49ers could struggle with Lambeau Field’s cold.",NO RECORD,BY BEN SHPIGEL,Article,New York Times,2022-01-02,Live Blog Post,1
4407,Sports,Bengals overcome sacks and seeding to shock No. 1 Titans on the final play.,"The Bengals kicked a field goal on the last play to beat Tennessee, 19-16, in a game that was mostly dominated by each defense.",BY KEN BELSON,Article,New York Times,2022-01-02,News,1
4408,Sports,The Bengals start the third quarter with a strong drive and a touchdown.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
4409,World,Covid Outbreak Triggers Lockdown in Hong Kong Housing Complex,"Multiple apartment buildings were locked down and 37,000 people were ordered to undergo testing after more than 100 new cases of the Omicron variant were reported in the complex.",BY AXEL BOADA AND NAILAH MORGAN,Video,New York Times,2022-01-02,Video,1
4410,Sports,"The Bengals lead, 9-6, at halftime.",NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
4411,U.S.,"Passenger Exposed Buttocks and Threw a Can During Flight, Prosecutors Say","Shane McInerney, 29, was charged after his disruptive behavior aboard a flight from Dublin to John F. Kennedy International Airport on Jan. 7.",BY MICHAEL LEVENSON,Article,New York Times,2022-01-02,News,1
4412,Sports,Burrow and Tannehill’s sack woes have continued.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
4413,Sports,"Derrick Henry, out of the wildcat, gets a TD.",NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
4414,Sports,The Bengals get an early lead after an interception.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
4415,Climate,"Lisa Goddard, 55, Dies; Brought Climate Data to Those Who Needed It","She helped show government agencies around the world how to predict upcoming droughts, flooding and other extreme weather events.",BY CLAY RISEN,Article,New York Times,2022-01-02,Obituary (Obit),1
4416,U.S.,Arizona Democrats Censure Sinema After Filibuster Vote,"Kyrsten Sinema, a first-term Arizona senator, was rebuked by fellow Democrats in her state after her vote on the filibuster helped sink the party’s voting-rights legislation.",BY JACK HEALY,Article,New York Times,2022-01-02,News,1
4417,U.S.,Wildfire in Big Sur Forces Residents to Evacuate,"A late-season blaze that started on Friday grew to 1,000 acres in the scenic region of California.",BY SOPHIE KASAKOVE,Article,New York Times,2022-01-02,News,1
4418,Sports,The Bengals’ passing overshadowed Joe Mixon’s career year.,NO RECORD,BY KEN BELSON,Article,New York Times,2022-01-02,Live Blog Post,1
4419,New York,How a Calm Call for Help Led 2 N.Y.P.D. Officers Into a Hail of Gunfire,The latest deadly episode to rattle the city began with a routine domestic disturbance call and ended with one officer dead and another in critical condition.,BY MICHAEL WILSON,Article,New York Times,2022-01-02,News,1
4420,Arts,How Meat Loaf Made a Cult Favorite: ‘Paradise by the Dashboard Light’,"The eight-and-a-half minute tale of sexual awakening features drums by the E Street Band’s Max Weinberg and vocals from Ellen Foley, who help recount how the unlikely song came together.",BY JEREMY GORDON,Article,New York Times,2022-01-02,News,1
4421,Business,Rapid Inflation Fuels Debate Over What’s to Blame: Pandemic or Policy,The White House is emphasizing that inflation is worldwide. Economists say that’s true — but stimulus-spurred consumer buying is also to blame.,BY JEANNA SMIALEK AND ANA SWANSON,Article,New York Times,2022-01-02,News,1
4422,World,The Olympic torch relay shrinks to ‘prioritize safety.’,"The relay, usually global and lasting for months, will take place over just three days, be mostly local, and only select members of the public will be able to attend.",BY ADEEL HASSAN,Article,New York Times,2022-01-02,News,1
4423,World,Here's what we know about Omicron and how it differs from other variants.,NO RECORD,BY EMILY ANTHES AND JONATHAN CORUM,Article,New York Times,2022-01-02,Live Blog Post,1
4424,World,‘Why Was I Born a Girl?’ An Afghan Poem Inspires U.S. Students,A Zoom connection between high schoolers in Afghanistan and San Diego opens a window for mutual support.,BY DAVID ZUCCHINO AND JIM HUYLEBROEK,Article,New York Times,2022-01-02,News,1
4425,World,Omicron reaches some of the most isolated places on Earth: The week in coronavirus news.,NO RECORD,BY ANDRÉS R. MARTÍNEZ,Article,New York Times,2022-01-02,Live Blog Post,1
4426,Opinion,Tough Decisions About End-of-Life Care,Readers offer personal stories in response to a doctor’s guest essay about advance directives.,NO RECORD,Article,New York Times,2022-01-02,Letter,1
4427,Opinion,The Systemic Realities Created by Legal Abortion,Thoughts on the 49th anniversary of Roe v. Wade.,BY TISH HARRISON WARREN,Article,New York Times,2022-01-02,Op-Ed,1
4428,World,Hong Kong tests tens of thousands of people after an outbreak at a vast housing complex.,NO RECORD,BY AUSTIN RAMZY,Article,New York Times,2022-01-02,Live Blog Post,1
4429,Opinion,President Biden’s Economy Is Failing the Big Mac Test,"The administration made a lot of the right economic moves in its first year, but high inflation is reason enough to postpone any celebrations.",BY THE EDITORIAL BOARD,Article,New York Times,2022-01-02,Editorial,1
4430,World,A shortened ‘Long Day’s Journey Into Night’ for the Covid era.,NO RECORD,BY JUAN A. RAMÍREZ,Article,New York Times,2022-01-02,Live Blog Post,1
4431,Opinion,"Farewell, André the Glorious","He liked dressing in caftans and fur, and dressing me down about my style.",BY MAUREEN DOWD,Article,New York Times,2022-01-02,Op-Ed,1
4432,Real Estate,The Noise From Downstairs Is Terrible. Should I Sue the Landlord?,"You have a right to the quiet enjoyment of your home, but lawsuits come with their own headaches. And there’s always room for negotiation.",BY RONDA KAYSEN,Article,New York Times,2022-01-02,News,1
4433,U.S.,Tennessee Couple Says Adoption Agency Turned Them Away for Being Jewish,Elizabeth and Gabriel Rutan-Ram are plaintiffs in a lawsuit claiming that state funding of a child-placing agency that discriminates based on religion is unconstitutional.,BY CHRISTINE HAUSER,Article,New York Times,2022-01-02,News,1
4434,World,Stocks are off to their worst start of a year since 2016.,NO RECORD,BY JEFF SOMMER,Article,New York Times,2022-01-02,Live Blog Post,1
4435,World,The self-made Covid expert: Amateur scientists are popping up.,NO RECORD,BY ALYSON KRUEGER,Article,New York Times,2022-01-02,Live Blog Post,1
4436,Business,What Happened (and Didn’t) When Davos Disappeared,"For the second year in a row, the World Economic Forum’s annual in-person meeting was delayed because of the pandemic. Did anyone miss it?",BY DAVID GELLES,Article,New York Times,2022-01-02,News,1
4437,en Español,"Defender Chernóbil en una invasión no vale la pena, dicen algunos ucranianos","Ucrania ha iniciado una estrategia defensiva para la Zona de Exclusión de Chernóbil, uno de los lugares más radiactivos de la Tierra, que se encuentra en el camino más corto entre Rusia y la capital de Ucrania, Kiev.",BY ANDREW E. KRAMER AND TYLER HICKS,Article,New York Times,2022-01-02,News,1
4438,World,When Drake Is on Your Course Syllabus,The hip-hop star’s influence on Toronto has been enormous and now includes a Ryerson University course deconstructing him.,BY VJOSA ISAI,Article,New York Times,2022-01-02,News,1
4439,World,"Thich Nhat Hanh on Life, War and Happiness","“People talk about entering nirvana, but we are already there,” said the Buddhist monk, who died on Saturday. Here is a short selection of his remarks.",BY SETH MYDANS,Article,New York Times,2022-01-02,News,1
4440,Science,Charting an Omicron Infection,Following the course of a typical Omicron infection.,BY EMILY ANTHES AND JONATHAN CORUM,Interactive,New York Times,2022-01-02,Interactive Feature,1
4441,World,China’s Games: How Xi Jinping Is Staging the Olympics on His Terms,"From Beijing’s unexpected bid through the coronavirus pandemic, China has managed to fulfill its promises and cow its critics.","BY STEVEN LEE MYERS, KEITH BRADSHER AND TARIQ PANJA",Article,New York Times,2022-01-02,News,1
4442,U.S.,"Omicron Cases Appear to Peak in U.S., but Deaths Continue to Rise","The country is reporting upward of 700,000 new cases a day, fewer than earlier this month, but still far more than in any prior surge.","BY MITCH SMITH, JULIE BOSMAN AND TRACEY TULLY",Article,New York Times,2022-01-02,News,1
4443,The Upshot,"On Abortion Law, the U.S. Is Unusual. Without Roe, It Would Be, Too.","Many rich democracies have earlier cutoffs for abortion — but allow it later for a variety of reasons. And around the world, it has been much more common to expand access than restrict it.",BY CLAIRE CAIN MILLER AND MARGOT SANGER-KATZ,Article,New York Times,2022-01-02,News,1
4444,Science,Bouncing Boulders Point to Quakes on Mars,A preponderance of boulder tracks on the red planet may be evidence of recent seismic activity.,BY KATHERINE KORNEI,Article,New York Times,2022-01-02,News,1
4445,New York,Eyesore or Monument? Preservationists Fight to Save a Grain Elevator in Buffalo,The current owner of the Great Northern has been pushing to demolish the building — possibly the last grain elevator of its type in the world.,BY JESSE MCKINLEY,Article,New York Times,2022-01-02,News,1
4446,en Español,¿Por qué ha causado tanto alboroto el metaverso?,Microsoft dijo que pagó 68.700 millones de dólares por una empresa de videojuegos para fortalecer su posición en el metaverso. Veamos qué significa esto en realidad.,BY BRIAN X. CHEN,Article,New York Times,2022-01-02,News,1
4447,World,I Watched the Building of an Olympic Venue,"In the past 17 months, I made five trips to a village northwest of Beijing. I was curious whether one of the Olympic venues there would be ready for the Games. ",BY KEITH BRADSHER,Interactive,New York Times,2022-01-02,Interactive Feature,1
4448,New York,"2021 was a deadly year for police in the U.S., a nonprofit group says.",NO RECORD,BY VIMAL PATEL,Article,New York Times,2022-01-02,Live Blog Post,1
4449,New York,The gun that the police say was used highlights a persistent problem.,NO RECORD,BY ED SHANAHAN,Article,New York Times,2022-01-02,Live Blog Post,1
4450,World,The Fugees are the latest artists to cancel shows over the pandemic.,A tour to recognize the 25th anniversary of a career-defining album will have to wait.,BY ALEXANDRA E. PETRI,Article,New York Times,2022-01-02,News,1
4451,World,Three Tiny Islands Have Borne the Brunt of Tonga’s Tsunami,"The sparsely populated islets of Nomuka, Mango and Fonoifua were hit by waves almost 50 feet high, a Red Cross official said.",BY NATASHA FROST,Article,New York Times,2022-01-02,News,1
4452,U.S.,Monkeys Escape After Truck Crashes on Pennsylvania Highway,"A pickup truck with an enclosed trailer full of 100 monkeys collided with a dump truck, the police said. Four escaped and one remains missing.",BY MICHAEL LEVENSON,Article,New York Times,2022-01-02,News,1
4453,New York,Shootings add to pressure on Mayor Adams to deliver on his promise to restore public safety.,NO RECORD,BY DANA RUBINSTEIN,Article,New York Times,2022-01-02,Live Blog Post,1
4454,New York,The shooting of two officers brings to mind past tragedies.,NO RECORD,BY ALI WATKINS,Article,New York Times,2022-01-02,Live Blog Post,1
4455,World,Arizona sues to try to keep U.S. from clawing back relief funds.,NO RECORD,BY ALAN RAPPEPORT,Article,New York Times,2022-01-02,News,1
4456,U.S.,Judge Issues Stinging Free Speech Ruling Against University of Florida,"While a lawsuit is being resolved, the university cannot bar professors from offering expert testimony in lawsuits against the state, the federal judge ruled.",BY MICHAEL WINES,Article,New York Times,2022-01-02,News,1
4457,U.S.,Arizona Sues to Stop Treasury From Recouping Relief Funds,"Gov. Doug Ducey has been using federal pandemic aid to undermine school mask requirements, which Treasury said violated the law.",BY ALAN RAPPEPORT,Article,New York Times,2022-01-02,News,1
4458,New York,The officers were shot while responding to a 911 call about a domestic disturbance.,The officers were the third and fourth to be shot in the line of duty in recent days.,BY ED SHANAHAN,Article,New York Times,2022-01-02,Live Blog Post,1
4459,World,‘We need to sing again’: Ireland relaxes Covid restrictions.,"Pubs and restaurants can return to regular hours, but face masks are still required in public spaces.",BY ED O’LOUGHLIN,Article,New York Times,2022-01-02,News,1
4460,U.S.,What Mattered This Week,President Biden rebooted. Democrats feuded. And Republicans watched it all with glee.,BY BLAKE HOUNSHELL AND LEAH ASKARINAM,Article,New York Times,2022-01-02,News,1
4461,Sports,Giants Hire Joe Schoen From Bills as General Manager,Schoen was previously the assistant general manager for the Buffalo Bills.,BY EMMANUEL MORGAN,Article,New York Times,2022-01-02,News,1
4462,Style,André Leon Talley: Mentor in Chief,"He was famous for his larger-than-life persona, but a lesser-known fact was that he took a select few under his wing and guided their careers.",BY ANDRÉ WHEELER,Article,New York Times,2022-01-02,News,1
4463,T Magazine,"In New Orleans, a White Picket Fence That’s Seen Better Days","Having come upon a broken-down partition on a walk, Willie Birch decided to paint what he saw: a fitting metaphor for his city and the country as a whole.",BY ALWA COOPER,Article,New York Times,2022-01-02,News,1
4464,Opinion,Readers Have Questions About Stocks. An Economist Replies.,The economist Laurence Kotlikoff responds to questions from Times readers.,BY PETER COY,Article,New York Times,2022-01-02,Op-Ed,1
4465,U.S.,Jan. 6 Panel and State Officials Seek Answers on Fake Trump Electors,Pressure is mounting on the Justice Department to investigate bogus electors who claimed that Donald J. Trump defeated Joseph R. Biden Jr. in their states.,BY LUKE BROADWATER AND ALAN FEUER,Article,New York Times,2022-01-02,News,1
4466,At Home,What to Do This Weekend,It’s a TV bumper crop.,BY MELISSA KIRSCH,Article,New York Times,2022-01-02,News,1
4467,Briefing,"Omicron, Russia, Meat Loaf: Your Friday Evening Briefing",Here’s what you need to know at the end of the day.,BY REMY TUMIN,Article,New York Times,2022-01-02,briefing,1
4468,U.S.,"Brian Laundrie Claimed Responsibility for Gabrielle Petito’s Death, F.B.I. Says","The agency, closing a high-profile case, said that a notebook found near Mr. Laundrie’s body included statements in which he confessed to killing his fiancée.",BY MICHAEL LEVENSON,Article,New York Times,2022-01-02,News,1
4469,World,"New Honduran Leader Loses Grip on Congress, Sapping Hope for Change","A split in the party of the president-elect, Xiomara Castro, has left her with little political means to fight corruption and organized crime.",BY ANATOLY KURMANAEV,Article,New York Times,2022-01-02,News,1
4470,Business,Citigroup will bring N.Y.C.-area workers back to the office starting Feb. 7.,NO RECORD,BY LANANH NGUYEN,Article,New York Times,2022-01-02,Live Blog Post,1
4471,Briefing,Coronavirus Briefing: Love in the Time of Covid,A look at how relationships are faring two years into the pandemic.,BY JONATHAN WOLFE,Article,New York Times,2022-01-02,News,1
4472,Arts,Louie Anderson and the Compassion of America’s Eternal Kid,He displayed an empathetic humanity that he shared offstage with his friend Bob Saget. The loss of both comics represents the end of an era.,BY JASON ZINOMAN,Article,New York Times,2022-01-02,News,1
4473,World,Crews Struggle to Clean Up Major Oil Spill Off Coast of Peru,"Repsol, a Spanish oil company, said the spill involving 6,000 barrels of oil happened when a tanker unloading crude at its refinery was rocked by strong waves caused by the volcanic eruption near Tonga.",BY THE ASSOCIATED PRESS AND REUTERS,Video,New York Times,2022-01-02,Video,1
4474,World,U.S. and Russia Take More Measured Stance in Ukraine Talks,The conciliatory tone and absence of ultimatums suggested that both sides were trying to keep tensions in check and give diplomacy time.,BY MICHAEL CROWLEY AND ANTON TROIANOVSKI,Article,New York Times,2022-01-02,News,1
4475,World,A White House official says the U.S. is moving toward a time when ‘Covid won’t be a constant crisis.’,NO RECORD,BY SHERYL GAY STOLBERG,Article,New York Times,2022-01-02,Live Blog Post,1
4476,Business,The Markets Tremble as the Fed’s Lifeline Fades,Stocks are off to their worst start of a year since 2016 as the central bank pulls back the enormous stimulus programs it began in the early months of the pandemic.,BY JEFF SOMMER,Article,New York Times,2022-01-02,News,1
4477,World,"Thich Nhat Hanh, Monk, Zen Master and Activist, Dies at 95","A monk with global influence and an ally of Martin Luther King, he championed what he called “engaged Buddhism,” applying its principles in pressing for peace.",BY SETH MYDANS,Article,New York Times,2022-01-02,Obituary (Obit),1
4478,Science,An Ocean May Lurk Inside Saturn’s ‘Death Star’ Moon,"New research is converting some skeptics to the idea that tiny, icy Mimas may be full of liquid.",BY KENNETH CHANG,Article,New York Times,2022-01-02,News,1
4479,Arts,Another Peloton Heart Attack on TV? ‘Billions’ Says It’s a Coincidence.,"Peloton’s stock dropped last month after the premiere of the “Sex and the City” reboot, which ended with Mr. Big dying after riding one of the company’s bikes.",BY JULIA JACOBS,Article,New York Times,2022-01-02,News,1
4480,Food,A French 75 for Everyone,"Thanks to a deeply flavored citrus shrub, this classic cocktail can be adapted for those who are drinking, want something lighter, or who are fully abstaining from alcohol.",BY REBEKAH PEPPLER,Article,New York Times,2022-01-02,News,1
4481,Sports,"Bob Goalby, Masters Champion Thanks to a Gaffe, Dies at 92","He won at Augusta in 1968 after Robert De Vincenzo signed an incorrect scorecard. But to many, the victory was tainted, leaving Goalby feeling like the victim.",BY RICHARD GOLDSTEIN,Article,New York Times,2022-01-02,Obituary (Obit),1
4482,World,Oil Spill Triggered by Tsunami Devastates Coast of Peru,"Initially said to be seven gallons, the oil spill turned out to be 6,000, the environment ministry said, and has led Peru to call for international aid.",BY MITRA TAJ,Article,New York Times,2022-01-02,News,1
4483,World,"A U.S. judge blocks Biden’s vaccine mandate for federal workers, months after most were vaccinated.",NO RECORD,BY ADEEL HASSAN,Article,New York Times,2022-01-02,Live Blog Post,1
4484,Food,"In Singapore, Lunar New Year Is a Multicultural Feast",The ethnic diversity of the island nation shines through food during the two-week festivities.,BY CLARISSA WEI,Article,New York Times,2022-01-02,News,1
4485,Arts,Samara Golden Is Spilling Her ‘Guts’,The Los Angeles artist has created an ambitious new installation full of inner turmoil.,BY JORI FINKEL,Article,New York Times,2022-01-02,News,1
4486,Books,Brian Cox Takes Stock of His Eventful Life on Stage and Screen,"In “Putting the Rabbit in the Hat,” the actor currently thriving as Logan Roy in “Succession” recounts his Scottish upbringing, his years in the theater and his experiences in Hollywood.",BY ALEXANDRA JACOBS,Article,New York Times,2022-01-02,Review,1
4487,Business,The Biden administration suspends 44 flights in tit-for-tat with China over passengers with coronavirus.,"The retaliatory move came after the Chinese government canceled American, Delta and United flights to China after some passengers tested positive for the coronavirus.",BY NIRAJ CHOKSHI,Article,New York Times,2022-01-02,News,1
4488,Technology,Google asks court to dismiss Texas antitrust case.,The effort is the first time the tech giant has tried to get a government case against it tossed out.,BY DAVID MCCABE,Article,New York Times,2022-01-02,News,1
4489,Opinion,The Long Road to Successful Covid Vaccines,The road to successful vaccines; mask distribution; Starbucks; Build Back Better; Trump’s call to Georgia; leaving the G.O.P.; a football fan’s plea.,NO RECORD,Article,New York Times,2022-01-02,Letter,1
4490,Arts,Corey Stoll on Becoming the New Face of Fortune in ‘Billions’,"The actor talked about taking over from Damian Lewis as the show’s chief nemesis, and why a do-gooder billionaire is still a billionaire.",BY SEAN T. COLLINS,Article,New York Times,2022-01-02,News,1
4491,Style,So You Think You’re a Covid Expert (but Are You?),How long should you isolate? What tests are the most reliable? Do vaccine cocktails work? Some people have turned into amateur scientists as they look for answers.,BY ALYSON KRUEGER,Article,New York Times,2022-01-02,News,1
4492,Business,Treasury Secretary Yellen describes the Biden administration’s economic agenda as ‘modern supply side economics.’,NO RECORD,BY ALAN RAPPEPORT,Article,New York Times,2022-01-02,Live Blog Post,1
4493,U.S.,Texas Man Charged With Threatening to Kill Georgia Election Officials,A man accused of using Craigslist to call for the assassination of election officials is the first to be charged by the Justice Department’s task force on election threats.,BY REID J. EPSTEIN,Article,New York Times,2022-01-02,News,1
4494,World,A Viral Photo Helps Bring Syrian Refugee Family to Italy,A Syrian family portrayed in an award-winning photo has come to Italy for treatment and better lives.,BY GAIA PIANIGIANI,Article,New York Times,2022-01-02,News,1
4495,en Español,La reina de los monos japoneses enfrenta un desafío a su reinado: la temporada de apareamiento,"Por primera vez en los 70 años de una reserva natural en Japón, una hembra macaco, Yakei, se convirtió en la alfa del grupo. Pero un triángulo amoroso podría poner en peligro su permanencia en el poder.",BY ANNIE ROTH,Article,New York Times,2022-01-02,News,1
4496,Arts,The Best of Late Night This Week 🌙,"The investigation into the Trump family business gave the late-night hosts plenty to talk about, as did President Biden marking one year in office. Here's what they had to say.",BY TRISH BENDIX,Interactive,New York Times,2022-01-02,Interactive Feature,1
4497,Business,"Social Security offices, closed in the pandemic, are expected to reopen in March.","The agency, whose offices were closed nearly two years ago, and the unions representing its work force agreed to reopen more than 1,200 offices.",BY MARK MILLER,Article,New York Times,2022-01-02,News,1
4498,World,Putin has nonmilitary options to threaten the West.,NO RECORD,BY ANTON TROIANOVSKI AND DAVID E. SANGER,Article,New York Times,2022-01-02,Live Blog Post,1
4499,Arts,Renée Fleming and Uma Thurman Share an Odyssey,"The actress and opera star come together in “Penelope,” a Homeric monodrama by André Previn and Tom Stoppard, at Carnegie Hall.",BY JOSHUA BARONE,Article,New York Times,2022-01-02,News,1
4500,World,"Europe is relieved that a meeting produced little heat, though also little clarity.",NO RECORD,BY STEVEN ERLANGER,Article,New York Times,2022-01-02,Live Blog Post,1
4501,The Upshot,What to Expect in This Wild Housing Market,Is there a chance of a break from soaring prices? Probably not in the short term. Here’s why.,BY EMILY BADGER,Interactive,New York Times,2022-01-02,Interactive Feature,1
4502,Business,They Love Coins (Just Not Bitcoin),Is coin collecting cool again? Four millennial and Gen Z numismatists on why they collect: “They’re little art objects you can hold in your hand.”,BY JULIA ROTHMAN AND SHAINA FEINBERG,Article,New York Times,2022-01-02,News,1
4503,Style,Eden Deering Started Her Art Career at 8,"She is the director of PPOW, a venerable art gallery in TriBeCa co-founded by her mother in 1983.",BY MIA ADORANTE,Article,New York Times,2022-01-02,News,1
4504,Health,"Booster shots are instrumental in protecting against Omicron, new C.D.C. data suggest.",The extra doses were most effective against infection and death among Americans aged 50 and older.,BY APOORVA MANDAVILLI,Article,New York Times,2022-01-02,News,1
4505,World,A W.H.O. panel recommends extending the Pfizer vaccine to children 5 to 11.,"Advisers endorsed the wider use of vaccines for children and boosters for high-risk people, bringing its guidance closer to that of most wealthy nations.",BY CORA ENGELBRECHT,Article,New York Times,2022-01-02,Live Blog Post,1
4506,World,"Heard, Felt but Barely Seen: How a Volcano Severed Tonga From the World",The disaster caused by the largest eruption in decades has been defined so far by the nation’s near-complete disconnection in an ever-connected age.,BY DAMIEN CAVE,Article,New York Times,2022-01-02,News,1
4507,Business,IBM is selling off Watson Health to a private equity firm.,The sale is part of IBM’s effort to tighten the focus of its business and shed operations.,BY STEVE LOHR,Article,New York Times,2022-01-02,News,1
4508,Arts,‘As We See It’ Is Not a Typical Portrayal of Autism,"Most autistic characters have been played onscreen by neurotypical actors. A new series bucks the trend, starring three leads who are on the spectrum.",BY ROBERT ITO,Article,New York Times,2022-01-02,News,1
4509,World,Saudi-Led Airstrikes Kill Scores at a Prison in Yemen,"The strikes, which also knocked out the country’s internet, came after Iran-backed Houthi rebels attacked the U.A.E., a key partner in the Saudi-led coalition that has been fighting in Yemen for years.",BY VIVIAN YEE,Article,New York Times,2022-01-02,News,1
4510,T Magazine,Cooking Class | Roxane Gay’s Tomato Soup & Grilled Cheese,The author shares a pair of favorite cold-weather recipes.,VIDEO BY SCOTT J. ROSS,Video,New York Times,2022-01-02,Video,1
4511,Crosswords & Games,How ‘Java’ Became Coffee’s Nickname and a Programming Language,"In Thursday’s puzzle, “Java” was the answer to the clue “Programming language named for a drink named for an island.”",BY ALEXIS BENVENISTE,Article,New York Times,2022-01-02,News,1
4512,World,Suspect Charged in Taiwan’s Deadly ‘Ghost Building’ Fire,"Prosecutors say the suspect, seeking revenge on her partner after a quarrel, poured hot ashes on a sofa. The resulting fire killed 46 people.",BY AMY CHANG CHIEN,Article,New York Times,2022-01-02,News,1
4513,Theater,Augmented Reality Theater Takes a Bow. In Your Kitchen.,The Immersive Storytelling Studio at the National Theater in London is using technology to bring a miniature musical to viewers’ homes. It’s one of several high-tech British projects pushing dramatic boundaries.,BY ANDREW DICKSON,Article,New York Times,2022-01-02,News,1
